CT.PA.1,CT.PA.2,KD.PA.3,KD.PA.4,CT.SI.5,KD.SI.6,CT.SI.7
FBgn0000579,5253,5936,8570,9160,9782,10441,6442
FBgn0000581,2662,2432,2626,2544,5260,3666,3164
FBgn0000588,232,287,283,254,505,340,355
FBgn0000611,860,1070,963,981,2368,1836,1649
FBgn0000615,208,266,294,266,504,553,536
FBgn0000617,554,685,686,720,891,818,755
FBgn0000618,64,120,115,154,221,196,130
FBgn0000629,807,853,807,933,1422,1093,1056
FBgn0000635,121,110,140,166,210,189,50
FBgn0000636,37,45,31,38,89,74,47
FBgn0000662,831,831,872,907,1864,1357,1207
FBgn0000667,1105,1261,1152,1218,2033,1347,1278
FBgn0000709,1770,1763,1628,1803,3393,2533,2079
FBgn0000711,638,757,802,848,1773,1823,1194
FBgn0000719,1605,1479,1459,1757,3131,2370,1926
FBgn0000721,640,648,743,782,1294,1170,802
FBgn0000723,1538,1593,1564,1727,3112,2427,1904
FBgn0000808,79,114,98,111,224,158,107
FBgn0000810,164,164,194,186,601,456,272
FBgn0000826,70,74,112,146,134,142,105
FBgn0000927,30,26,31,32,26,43,22
FBgn0000928,399,438,646,665,714,898,626
FBgn0000996,804,922,841,870,2127,1361,1207
FBgn0001075,39,32,37,32,71,58,28
FBgn0001078,1156,1041,1156,1154,2340,2055,1096
FBgn0001079,253,272,298,321,492,441,413
FBgn0001083,133,135,165,169,184,220,235
FBgn0001084,38,49,52,67,90,106,64
FBgn0001086,729,778,862,920,1676,1423,1256
FBgn0001087,1180,1322,1361,1535,2380,2057,1569
FBgn0001090,31,19,38,47,41,57,30
FBgn0001091,2358,2707,4596,5100,3978,5077,3253
FBgn0001092,4975,6340,8521,9738,10275,10295,9310
FBgn0001098,374,425,341,388,760,486,450
FBgn0001104,4498,4787,5298,5859,10579,9307,7098
FBgn0001105,3257,3658,4029,4337,8979,8585,5207
FBgn0001108,1649,1725,1665,1810,3080,2264,2083
FBgn0001114,29804,34025,25356,27742,68232,30898,39364
FBgn0001122,505,483,859,942,1636,2208,859
FBgn0001123,558,590,600,674,2129,1684,991
FBgn0001124,692,807,1230,1371,1415,1850,859
FBgn0001125,1663,1978,1852,2008,3240,2378,2680
FBgn0001128,188,226,161,204,425,296,289
FBgn0001133,310,411,380,430,664,470,499
FBgn0001137,387,495,180,208,863,390,739
FBgn0001139,3034,3285,3030,3404,6924,4494,3312
FBgn0001142,289,367,285,305,548,497,184
FBgn0001145,313,346,379,407,684,501,216
FBgn0001149,1285,1707,1527,1751,3337,2412,2063
FBgn0001150,30,39,29,35,77,40,34
FBgn0001168,1979,2055,2098,2361,5108,3910,1706
FBgn0001169,1005,933,1076,1120,2042,1717,1275
FBgn0001179,581,660,757,836,1322,1203,831
FBgn0001185,265,318,296,394,754,641,475
FBgn0001186,1801,1922,2089,2308,4391,3504,2328
FBgn0001189,810,908,1178,1193,1810,1705,1372
FBgn0001197,1815,2371,2931,3229,4591,4754,3322
FBgn0001202,447,584,495,583,1060,965,839
FBgn0001206,324,369,551,579,778,813,502
FBgn0001215,4518,4621,4495,5192,9387,6631,6189
FBgn0001218,19533,23939,22948,27627,47816,33179,26568
FBgn0001219,50068,66462,75444,85193,108085,86234,81323
FBgn0001220,3632,4507,4728,5137,8367,7417,6693
FBgn0001222,701,798,725,863,1744,1338,1084
FBgn0001224,187,307,654,861,493,1109,314
FBgn0001225,158,224,473,597,328,712,247
FBgn0001226,395,610,1568,1807,925,2307,459
FBgn0001230,129,137,148,174,280,205,122
FBgn0001233,27998,34968,38543,40165,56618,56195,42821
FBgn0001234,933,767,623,638,1926,2051,969
FBgn0001247,751,882,1022,1092,2091,1904,1241
FBgn0001248,1726,2180,2613,2803,3411,3136,2924
FBgn0001250,30,33,30,38,61,44,32
FBgn0001257,5114,5619,8612,9989,14278,15675,5579
FBgn0001258,700,893,1692,1895,1565,2259,1081
FBgn0001263,30,32,34,30,78,33,35
FBgn0001276,78,132,111,123,283,207,144
FBgn0001280,281,383,404,488,933,889,614
FBgn0001291,797,920,860,1026,1942,1315,1130
FBgn0001296,55,55,54,73,100,58,51
FBgn0001297,9235,8969,7348,7812,18310,11096,9468
FBgn0001301,749,783,940,955,1325,1471,1140
FBgn0001308,3087,3136,3058,3389,5572,3940,3689
FBgn0001316,8582,8413,10463,11249,17553,14941,10449
FBgn0001324,1796,1871,2029,2061,3275,2570,2417
FBgn0001330,311,330,325,327,584,501,462
FBgn0001332,916,991,724,744,1963,1103,1169
FBgn0001337,445,439,559,580,1031,855,705
FBgn0001341,206,232,277,249,540,456,428
FBgn0001404,813,784,1001,1137,2054,1849,1242
FBgn0001491,138,195,174,188,521,383,297
FBgn0001565,1531,1991,1601,1856,2900,2487,2330
FBgn0001612,391,484,515,536,984,1012,818
FBgn0001624,4454,4301,4221,4582,10463,7355,6179
FBgn0001941,1757,2127,1875,2158,5031,3649,3698
FBgn0001942,39466,52228,42780,47413,88588,58333,61541
FBgn0001961,4757,5691,5493,6055,8705,6036,6173
FBgn0001965,1292,1319,1374,1530,2547,1854,1657
FBgn0001974,245,247,245,301,503,368,299
FBgn0001977,374,510,651,678,944,1126,606
FBgn0001978,4170,4507,4619,5147,8204,6131,4735
FBgn0001986,1001,1129,1089,1095,2003,1394,1594
FBgn0001987,366,360,483,564,638,725,576
FBgn0001989,564,724,618,603,1283,911,719
FBgn0001990,270,332,294,344,716,539,465
FBgn0001994,2070,1955,2179,2350,4969,3706,1768
FBgn0001995,308,387,388,422,643,505,425
FBgn0002021,158,189,202,243,374,358,251
FBgn0002022,783,1049,1003,1108,1844,1469,1367
FBgn0002031,2073,2581,3027,3146,3682,3753,3110
FBgn0002036,37,59,46,61,95,72,88
FBgn0002044,1935,2051,2101,2068,4247,3114,2526
FBgn0002069,2532,3196,3355,3692,5160,4701,3704
FBgn0002121,2256,1912,1817,1827,6172,4930,3602
FBgn0002174,802,882,927,962,1298,961,891
FBgn0002183,4889,5722,5682,6414,11801,8312,7346
FBgn0002283,239,280,261,311,445,397,424
FBgn0002284,975,1200,1443,1502,1939,1984,1733
FBgn0002354,74,134,105,137,205,214,170
FBgn0002413,2079,2234,2193,2352,4863,3710,2674
FBgn0002431,3882,3947,4353,3853,10005,8292,6845
FBgn0002440,22,27,29,31,34,59,60
FBgn0002441,1136,1269,1317,1400,2506,1881,1765
FBgn0002466,1439,1536,1795,1747,3237,2971,2407
FBgn0002521,215,199,192,212,851,970,678
FBgn0002524,3374,3892,3973,3956,7729,7046,6233
FBgn0002525,3193,3290,4117,4175,6849,5553,4966
FBgn0002526,56592,57705,68209,64117,128567,104666,85695
FBgn0002528,9792,10438,11416,11774,18215,14382,11856
FBgn0002542,826,908,987,1014,1842,1656,1305
FBgn0002543,639,557,959,971,1076,1372,340
FBgn0002552,774,882,912,1016,1276,966,1087
FBgn0002566,1095,978,1026,983,3227,3706,2637
FBgn0002567,21,29,55,61,44,80,35
FBgn0002576,267,223,253,227,377,242,78
FBgn0002577,98,119,110,138,201,165,143
FBgn0002579,6823,9673,7780,8899,21790,13070,9551
FBgn0002590,22741,31708,26694,30303,46622,35859,35700
FBgn0002593,15333,20531,18054,18953,35113,24647,25485
FBgn0002607,22047,30640,26407,29444,43120,33596,36625
FBgn0002609,37,35,15,13,64,32,77
FBgn0002622,28992,40572,35713,40988,57666,41022,38307
FBgn0002626,23625,34906,28976,34500,50837,32085,40283
FBgn0002638,1925,2209,2019,2074,3919,2776,2802
FBgn0002641,246,300,333,336,525,589,378
FBgn0002643,2578,2232,2259,2332,4274,3057,2468
FBgn0002645,4344,3911,4690,4806,10467,10805,6906
FBgn0002652,186,194,257,244,737,638,311
FBgn0002673,68,58,62,65,137,105,93
FBgn0002707,181,209,242,253,453,369,300
FBgn0002715,85,111,159,135,235,280,165
FBgn0002716,42,41,30,39,66,63,42
FBgn0002719,5879,6606,6288,7111,11076,8288,5598
FBgn0002723,528,495,441,500,1070,717,426
FBgn0002733,186,219,241,279,397,382,322
FBgn0002736,316,406,386,478,934,643,642
FBgn0002773,32,59,14,25,77,29,37
FBgn0002774,576,671,678,714,1421,1280,1020
FBgn0002775,249,337,283,323,680,430,422
FBgn0002778,865,973,630,708,1878,1229,1746
FBgn0002780,2434,2734,2065,2243,7353,5537,4855
FBgn0002781,2941,3344,3446,3752,6035,4556,4009
FBgn0002783,2713,2835,2999,3160,5969,4406,3532
FBgn0002787,1129,1279,1409,1601,2289,1969,1642
FBgn0002791,219,264,319,322,593,599,449
FBgn0002868,69,92,22,25,312,48,222
FBgn0002872,407,391,527,566,1049,1057,672
FBgn0002873,1293,1106,1557,1612,2913,3258,2256
FBgn0002878,597,592,642,648,1172,815,866
FBgn0002891,625,622,866,922,1356,1416,857
FBgn0002899,232,295,312,281,601,556,488
FBgn0002901,122,120,142,140,291,266,199
FBgn0002905,429,498,561,532,1040,916,709
FBgn0002906,331,399,337,360,1006,676,607
FBgn0002914,1305,1550,1534,1636,3529,2697,2325
FBgn0002917,45,49,72,46,67,82,73
FBgn0002921,8913,9794,11886,12622,19471,17105,13072
FBgn0002924,3123,3672,4109,4496,6729,5227,4425
FBgn0002926,74,53,92,76,128,144,125
FBgn0002931,60,57,50,60,155,114,99
FBgn0002932,109,135,134,149,396,412,256
FBgn0002945,64,49,23,26,119,45,39
FBgn0002948,166,193,241,216,423,389,309
FBgn0002968,2514,2792,2683,3041,5888,4242,3844
FBgn0002973,134,137,127,137,296,227,155
FBgn0002989,228,238,266,290,469,319,392
FBgn0003008,71,110,107,118,241,214,167
FBgn0003016,205,209,229,259,475,386,241
FBgn0003022,831,974,1088,1240,1571,1402,1016
FBgn0003041,887,1025,1416,1500,1921,2380,1552
FBgn0003042,152,130,118,169,267,247,192
FBgn0003044,1252,1274,1494,1534,2667,1997,1600
FBgn0003048,3500,3022,4096,3971,6306,5749,4192
FBgn0003053,84,73,124,144,130,181,31
FBgn0003062,1805,1955,2389,2254,2537,1884,2109
FBgn0003067,1032,1084,925,969,1917,1225,566
FBgn0003068,140,144,130,165,196,140,133
FBgn0003071,1096,1172,1099,1343,1896,1460,1080
FBgn0003074,1159,1326,2281,2310,2456,2918,1794
FBgn0003076,718,920,1460,1708,1809,2188,1193
FBgn0003079,368,470,483,550,923,892,639
FBgn0003082,334,455,471,431,646,656,709
FBgn0003087,38,34,60,49,160,238,143
FBgn0003093,1179,1310,1081,1258,2625,1534,1293
FBgn0003116,98,103,103,108,210,207,162
FBgn0003117,4350,4538,4100,4231,7787,5103,6379
FBgn0003118,4692,4667,5321,5488,11032,8439,5519
FBgn0003124,1344,1516,1869,2004,3327,3422,2339
FBgn0003134,796,946,922,999,2168,1542,1184
FBgn0003137,2262,2303,5158,5024,4708,7083,3272
FBgn0003138,1688,1806,1839,2137,3784,2718,2169
FBgn0003139,373,508,555,600,836,792,678
FBgn0003141,187,278,250,289,752,520,422
FBgn0003159,526,501,605,639,1382,1069,576
FBgn0003162,52,64,74,75,126,127,57
FBgn0003165,4047,3814,4750,4731,9442,8693,3345
FBgn0003169,1021,1088,1022,1106,2401,1799,1676
FBgn0003175,1580,1501,1557,1665,3186,1948,1599
FBgn0003178,4215,4834,5283,5679,7385,6576,6030
FBgn0003189,3053,3214,3390,3276,5170,4010,4676
FBgn0003204,922,1023,932,965,1468,1104,1237
FBgn0003205,1513,1759,1731,1908,3724,3056,2877
FBgn0003206,483,632,616,692,1379,1295,1016
FBgn0003209,642,722,797,867,1291,1241,916
FBgn0003210,933,1015,1123,1246,2079,1932,1362
FBgn0003218,589,607,652,632,993,948,773
FBgn0003227,152,160,189,219,277,311,204
FBgn0003231,2008,2300,1975,2319,5116,3535,2910
FBgn0003256,336,315,263,269,1058,1319,785
FBgn0003257,427,470,640,595,864,790,649
FBgn0003261,11306,12436,11150,11595,25752,17830,13896
FBgn0003268,1450,1618,1901,1843,3345,3206,2813
FBgn0003274,15266,20920,20063,20081,28158,32238,21150
FBgn0003275,362,532,497,548,894,770,690
FBgn0003277,7641,7783,8720,8818,15640,11716,10318
FBgn0003278,404,469,447,476,1064,901,765
FBgn0003279,48841,61626,52756,53974,86938,49697,58578
FBgn0003301,948,829,983,1059,1290,1034,956
FBgn0003302,68,57,59,58,151,73,65
FBgn0003308,182,205,165,182,321,179,310
FBgn0003310,998,960,1065,1203,1796,1596,1305
FBgn0003317,699,879,1247,1300,1653,2182,1254
FBgn0003321,923,970,908,980,2315,1587,1375
FBgn0003328,590,638,491,589,1181,840,925
FBgn0003330,386,512,560,594,814,620,558
FBgn0003334,1150,1140,1072,1229,2244,1653,1453
FBgn0003345,1880,1915,2081,2107,5146,4215,2705
FBgn0003346,793,981,978,1177,1995,1718,1523
FBgn0003353,77,70,103,108,201,193,129
FBgn0003360,3655,4731,603,616,11266,984,8869
FBgn0003371,2278,2099,2080,2198,4730,3677,2441
FBgn0003390,28,36,69,63,77,88,47
FBgn0003391,644,691,711,753,1274,915,1081
FBgn0003392,1863,2100,1884,1972,4164,3621,3229
FBgn0003396,3025,2623,2533,2552,6807,4108,3076
FBgn0003401,118,170,197,221,323,313,196
FBgn0003410,569,563,623,639,1311,1256,852
FBgn0003415,1761,1492,1682,1644,3533,2647,2022
FBgn0003416,796,783,884,923,1498,1604,1397
FBgn0003423,345,379,414,451,812,730,674
FBgn0003435,128,118,140,116,307,254,139
FBgn0003444,310,348,375,372,854,865,496
FBgn0003447,9,16,46,56,28,94,8
FBgn0003449,289,372,362,422,822,718,450
FBgn0003459,446,460,463,529,1159,912,647
FBgn0003462,1008,1362,1303,1393,2068,1649,1632
FBgn0003463,1009,1091,1007,1176,2089,1533,1046
FBgn0003464,3066,3239,3492,3804,4766,3971,3780
FBgn0003475,2186,1976,2432,2693,3975,3417,2389
FBgn0003479,251,315,324,383,538,467,390
FBgn0003480,30,49,39,44,86,83,52
FBgn0003483,431,457,535,537,974,954,794
FBgn0003495,2376,2867,3175,3482,8906,7409,4853
FBgn0003499,29,26,31,29,52,34,11
FBgn0003502,628,723,1166,1270,1440,1971,802
FBgn0003507,4361,4470,4005,3985,8548,4700,5648
FBgn0003510,49,57,74,94,137,91,95
FBgn0003511,225,269,266,332,566,336,308
FBgn0003512,673,833,817,842,1289,955,899
FBgn0003514,2580,3295,3545,3902,5892,5229,4660
FBgn0003517,59517,80276,80641,82456,107146,78487,82229
FBgn0003520,1447,1357,1537,1635,3530,2884,1666
FBgn0003525,1028,1132,757,828,3020,1337,1371
FBgn0003545,369,443,435,473,931,786,742
FBgn0003557,2051,2094,1760,1860,4182,2837,2732
FBgn0003559,1070,1324,1237,1346,2441,2220,1905
FBgn0003567,583,636,660,691,1541,1132,1073
FBgn0003575,719,748,639,668,1559,935,840
FBgn0003598,595,673,731,744,1217,995,907
FBgn0003607,1561,1893,1696,1905,4962,3461,2557
FBgn0003612,1185,1327,1344,1424,2860,2154,2031
FBgn0003638,853,858,794,842,1808,1119,985
FBgn0003654,312,372,360,337,907,558,644
FBgn0003655,105,119,100,108,223,147,208
FBgn0003656,1026,1089,1197,1390,2084,1752,1288
FBgn0003660,1703,2309,1947,2327,4972,3332,2784
FBgn0003676,2730,3477,3888,4340,5207,5355,4699
FBgn0003687,203,258,255,304,468,375,328
FBgn0003701,410,427,415,420,943,861,662
FBgn0003714,149,174,236,250,439,406,268
FBgn0003716,408,523,485,499,856,794,644
FBgn0003721,2456,2588,2505,2662,7086,6465,4631
FBgn0003731,106,119,105,118,208,131,89
FBgn0003732,3514,3777,4867,4855,8698,9114,6413
FBgn0003741,76,109,110,128,206,176,109
FBgn0003742,263,324,315,321,588,475,364
FBgn0003744,588,705,634,672,1530,1024,953
FBgn0003748,443,516,1185,1227,1118,1985,792
FBgn0003862,3142,2680,2236,2259,7364,4519,3786
FBgn0003866,1588,1650,1605,1667,4412,3100,2273
FBgn0003870,1134,1166,1074,1047,2742,1808,1561
FBgn0003882,606,723,695,783,1518,1166,1066
FBgn0003884,19457,24641,37797,39369,36356,46994,43008
FBgn0003885,1139,1365,1820,1673,2715,2444,2312
FBgn0003886,204,236,428,536,323,485,411
FBgn0003887,13313,15812,23427,25488,26438,25371,23398
FBgn0003888,3843,4367,6654,7323,7363,7772,5828
FBgn0003890,1291,1375,1108,1172,2191,1279,2268
FBgn0003891,10218,9685,7856,8092,24469,15234,13601
FBgn0003892,631,600,593,587,1345,883,746
FBgn0003941,12421,18850,15895,18623,36147,24888,24459
FBgn0003942,9516,16536,13345,14273,36389,26546,21718
FBgn0003943,682,1227,1298,758,2905,2529,2951
FBgn0003950,181,187,165,176,344,241,258
FBgn0003963,2439,2549,3244,3217,5792,4926,2972
FBgn0003964,1003,1116,1061,1131,1888,1412,1267
FBgn0003969,1280,1483,1601,1641,2911,2994,2662
FBgn0003977,1395,1393,1531,1609,2301,1789,1637
FBgn0003978,376,405,450,440,683,464,444
FBgn0003984,29,30,32,27,63,46,30
FBgn0003996,34,68,76,90,83,124,37
FBgn0003997,111,101,54,80,280,163,42
FBgn0004034,111,179,202,228,375,483,179
FBgn0004047,40,41,41,41,65,41,26
FBgn0004049,692,635,629,763,1814,1293,999
FBgn0004050,559,578,629,715,1123,850,514
FBgn0004055,829,984,957,1076,2133,1864,1621
FBgn0004057,684,777,692,826,1036,756,1064
FBgn0004066,1763,2274,2580,2802,3962,4084,1938
FBgn0004087,130,208,160,205,323,326,257
FBgn0004101,265,274,341,299,557,439,322
FBgn0004103,2932,3603,3568,3693,8868,5973,5590
FBgn0004106,281,328,334,331,763,868,639
FBgn0004107,114,143,182,184,363,303,261
FBgn0004108,342,411,712,788,545,861,473
FBgn0004132,359,460,455,564,1053,717,560
FBgn0004133,852,941,779,974,1847,1149,1236
FBgn0004167,35670,32592,36793,33172,77335,54335,43940
FBgn0004177,3317,3633,3524,4186,8785,7145,4920
FBgn0004179,687,867,811,830,1906,1719,1310
FBgn0004197,1024,1112,879,886,1882,1145,1401
FBgn0004198,3515,3244,2807,2920,7462,4255,2835
FBgn0004227,726,791,752,804,1770,1330,1291
FBgn0004237,3795,3622,3919,4419,6596,4961,4136
FBgn0004359,51,55,85,81,95,119,37
FBgn0004362,1869,2147,2613,2641,5634,5209,3891
FBgn0004363,3499,4805,5149,5444,8206,7576,7390
FBgn0004364,63,57,76,98,100,119,49
FBgn0004367,419,463,583,620,813,822,686
FBgn0004368,1201,1268,1671,1839,2391,2174,1943
FBgn0004369,771,757,438,502,1493,824,857
FBgn0004370,1521,1454,1617,1668,2921,2447,1825
FBgn0004373,2502,2335,2789,2792,5618,5015,3695
FBgn0004374,642,736,722,773,1030,898,916
FBgn0004378,1158,1318,1364,1467,2658,2269,1768
FBgn0004379,420,493,559,597,1022,903,647
FBgn0004380,499,597,554,616,1064,912,787
FBgn0004381,309,376,369,451,714,648,471
FBgn0004387,1665,1683,1506,1585,3355,2234,2449
FBgn0004390,1713,1601,2243,2539,3520,3364,2386
FBgn0004391,993,1082,1247,1313,1852,1536,1468
FBgn0004395,575,587,520,577,1431,1161,820
FBgn0004396,1147,974,2345,2565,3128,5363,1292
FBgn0004397,2533,2445,2420,2471,4632,3181,3122
FBgn0004400,132,148,164,192,378,547,247
FBgn0004401,5179,5134,5897,6400,9460,8172,5763
FBgn0004403,6042,11794,9837,8873,17856,14050,16896
FBgn0004404,1228,2415,2245,1537,7413,4871,6994
FBgn0004406,485,509,601,673,852,740,653
FBgn0004419,801,928,951,972,2451,2645,1697
FBgn0004432,4320,6151,6642,7178,9591,10073,7707
FBgn0004435,520,522,633,615,1877,2426,1445
FBgn0004436,932,1050,881,970,3721,2659,1900
FBgn0004449,1942,1778,1850,1759,3827,2616,2386
FBgn0004456,2628,2807,2556,2680,6142,4264,5028
FBgn0004462,309,342,296,369,702,508,421
FBgn0004463,415,489,516,557,858,817,794
FBgn0004465,455,513,596,633,802,664,761
FBgn0004507,906,1072,2000,2226,2160,2532,943
FBgn0004509,1088,1140,1173,1291,2134,1593,1426
FBgn0004510,392,450,477,498,909,664,575
FBgn0004512,310,381,442,512,580,612,320
FBgn0004556,249,253,231,255,652,441,344
FBgn0004569,198,192,183,207,499,367,267
FBgn0004574,2318,2693,2587,2856,4168,3055,3813
FBgn0004583,1976,1891,2293,2365,5162,3936,3038
FBgn0004584,1050,1261,1626,1746,2698,2687,1366
FBgn0004587,2893,3385,3870,3695,5632,4515,4058
FBgn0004595,39,27,55,56,48,63,28
FBgn0004597,143,168,213,265,266,391,258
FBgn0004598,2662,2823,2978,2956,5212,3920,4018
FBgn0004603,1039,1179,1454,1371,3033,2659,2001
FBgn0004606,12954,11365,10636,11404,26553,14314,11382
FBgn0004611,310,286,285,320,612,544,351
FBgn0004629,765,1168,958,1160,1894,1722,999
FBgn0004635,582,475,416,492,1163,787,676
FBgn0004636,3389,3781,4270,4579,9803,8148,5127
FBgn0004638,793,840,881,892,2609,2743,1743
FBgn0004643,821,957,1122,1271,1477,1496,1206
FBgn0004646,25,36,50,49,75,95,27
FBgn0004647,3570,3739,3675,3694,6787,5026,4628
FBgn0004648,801,840,984,1007,1969,1731,1459
FBgn0004650,100,120,65,90,297,123,154
FBgn0004652,2515,2195,1540,1633,5741,3175,2586
FBgn0004654,1453,1685,1781,1941,2502,1949,2087
FBgn0004655,1525,1454,1661,1490,3042,2051,1897
FBgn0004656,7438,6403,6546,6476,13497,9722,5633
FBgn0004657,4735,4897,4907,5212,10293,7458,7431
FBgn0004687,1803,2150,1694,1794,4265,3292,2683
FBgn0004698,1689,1884,1943,2132,4102,4032,2714
FBgn0004797,144,143,97,85,362,251,230
FBgn0004811,461,565,550,625,1127,880,734
FBgn0004828,7064,8675,8644,9444,17369,14652,9864
FBgn0004832,172,196,222,227,365,290,266
FBgn0004837,231,265,232,248,559,457,394
FBgn0004838,9237,8804,8963,9482,25250,20127,11505
FBgn0004852,114,108,117,99,193,151,168
FBgn0004855,215,290,306,367,575,424,455
